cod_parroquia	parroquia
PR100254	San Roque
PR100301	Sagrario
PR100302	San Francisco
PR100350	Cotacachi
PR100351	Apuela
PR100352	Garcia Moreno (Llurimagua)
PR100353	Imantag
PR100354	Penaherrera
PR100355	Plaza Gutierrez (Calvario)
PR100356	Quiroga
PR100357	6 De Julio De Cuellaje (Cab. En Cuellaje)
PR100358	Vacas Galindo (El Churo) (Cab.En San Miguel Alto
PR100401	Jordan
PR100402	San Luis
PR100450	Otavalo
PR100451	Dr. Miguel Egas Cabezas (Peguche)
PR100452	Eugenio Espejo (Calpaqui)
PR100453	Gonzalez Suarez
PR100454	Pataqui
PR100455	San Jose De Quichinche
PR100456	San Juan De Iluman
PR100457	San Pablo
PR100458	San Rafael
PR100459	Selva Alegre (Cab.En San Miguel De Pamplona)
PR100550	Pimampiro
PR100551	Chuga
PR100552	Mariano Acosta
PR100553	San Francisco De Sigsipamba
PR100650	Urcuqui Cabecera Cantonal
PR100651	Cahuasqui
PR100652	La Merced De Buenos Aires
PR100653	Pablo Arenas
PR100654	San Blas
PR100655	Tumbabiro
PR110101	El Sagrario
PR110102	San Sebastian
PR110103	Sucre
PR110104	Valle
PR110150	Loja
PR110151	Chantaco
PR110152	Chuquiribamba
PR110153	El Cisne
PR110154	Gualel
PR110155	Jimbilla
PR110156	Malacatos (Valladolid)
PR110157	San Lucas
PR110158	San Pedro De Vilcabamba
PR110159	Santiago
PR110160	Taquil (Miguel Riofrio)
PR110161	Vilcabamba (Victoria)
PR110162	Yangana (Arsenio Castillo)
PR110163	Quinara
PR110201	Cariamanga
PR110202	Chile
PR110203	San Vicente
PR110250	Cariamanga
PR110251	Colaisaca
PR110252	El Lucero
PR110253	Utuana
PR110254	Sanguillin
PR110301	Catamayo
PR110302	San Jose
PR110350	Catamayo (La Toma)
PR110351	El Tambo
PR110352	Guayquichuma
PR110353	San Pedro De La Bendita
PR110354	Zambi
PR110450	Celica
PR110451	Cruzpamba (Cab. En Carlos Bustamante)
PR110452	Chaquinal
PR110453	12 De Diciembre (Cab. En Achiotes)
PR110454	Pindal (Federico Paez)
PR110455	Pozul (San Juan De Pozul)
PR110456	Sabanilla
PR110457	Tnte. Maximiliano Rodriguez Loaiza
PR110550	Chaguarpamba
PR110551	Buenavista
PR110552	El Rosario
PR110553	Santa Rufina
PR110554	Amarillos
PR110650	Amaluza
PR110651	Bellavista
PR110652	Jimbura
PR110653	Santa Teresita
PR110654	27 De Abril (Cab. En La Naranja)
PR110655	El Ingenio
PR110656	El Airo
PR110750	Gonzanama
PR110751	Changaimina (La Libertad)
PR110752	Fundochamba
PR110753	Nambacola
PR110754	Purunuma (Eguiguren)
PR110755	Quilanga (La Paz)
PR110756	Sacapalca
PR110757	San Antonio De Las Aradas (Cab. En Las Aradas)
PR110801	General Eloy Alfaro (San Sebastian)
PR110802	Macara (Manuel Enrique Rengel Suquilanda)
PR110850	Macara
PR110851	Larama
PR110852	La Victoria
PR110853	Sabiango (La Capilla)
PR110901	Catacocha
PR110902	Lourdes
PR110950	Catacocha
PR110951	Cangonama
PR110952	Guachanama
PR110953	La Tingue
PR110954	Lauro Guerrero
PR110955	Olmedo (Santa Barbara)
PR110956	Orianga
PR110957	San Antonio
PR110958	Casanga
PR110959	Yamana
PR111050	Alamor
PR111051	Ciano
PR111052	El Arenal
PR111053	El Limo (Mariana De Jesus)
PR111054	Mercadillo
PR111055	Vicentino
PR111150	Saraguro
PR111151	El Paraiso De Celen
PR111152	El Tablon
PR111153	Lluzhapa
PR111154	Manu
PR111155	San Antonio De Qumbe (Cumbe)
PR111156	San Pablo De Tenta
PR111157	San Sebastian De Yuluc
PR111158	Selva Alegre
PR111159	Urdaneta (Paquishapa)
PR111160	Sumaypamba
PR111250	Sozoranga
PR111251	Nueva Fatima
PR111252	Tacamoros
PR111350	Zapotillo
PR111351	Mangahurco (Cazaderos)
PR111352	Garzareal
PR111353	Limones
PR111354	Paletillas
PR111355	Bolaspamba
PR111450	Pindal
PR111451	Chaquinal
PR111452	12 De Diciembre (Cab.En Achiotes)
PR111453	Milagros
PR111550	Quilanga
PR111551	Fundochamba
PR111552	San Antonio De Las Aradas (Cab. En Las Aradas)
PR111650	Olmedo
PR111651	La Tingue
PR120101	Clemente Baquerizo
PR120102	Dr. Camilo Ponce
PR120103	Barreiro
PR120104	El Salto
PR120150	Babahoyo
PR120151	Barreiro (Santa Rita)
PR120152	Caracol
PR120153	Febres Cordero (Las Juntas)
PR120154	Pimocha
PR120155	La Union
PR120250	Baba
PR120251	Guare
PR120252	Isla De Bejucal
PR120350	Montalvo
PR120450	Puebloviejo
PR120451	Puerto Pechiche
PR120452	San Juan
PR120501	Quevedo
PR120502	San Camilo
PR120503	San Jose
PR120504	Guayacan
PR120505	Nicolas Infante Diaz
PR120506	San Cristobal
PR120507	Siete De Octubre
PR120508	24 De Mayo
PR120509	Venus Del Rio Quevedo
PR120510	Viva Alfaro
PR120550	Quevedo
PR120551	Buena Fe
PR120552	Mocache
PR120553	San Carlos
PR120554	Valencia
PR120555	La Esperanza
PR120650	Catarama
PR120651	Ricaurte
PR120701	10 De Noviembre
PR120750	Ventanas
PR120751	Quinsaloma
PR120752	Zapotal
PR120753	Chacarita
PR120754	Los Angeles
PR120850	Vinces
PR120851	Antonio Sotomayor (Cab. En Playas De Vinces)
PR120852	Palenque
PR120950	Palenque
PR121001	San Jacinto De Buena Fe
PR121002	7 De Agosto
PR121003	11 De Octubre
PR121050	San Jacinto De Buena Fe
PR121051	Patricia Pilar
PR121150	Valencia
PR121250	Mocache
PR121350	Quinsaloma
PR130101	Portoviejo
PR130102	12 De Marzo
PR130103	Colon
PR130104	Picoaza
PR130105	San Pablo
PR130106	Andres De Vera
PR130107	Francisco Pacheco
PR130108	18 De Octubre
PR130109	Simon Bolivar
PR130150	Portoviejo
PR130151	Abdon Calderon (San Francisco)
PR130152	Alhajuela (Bajo Grande)
PR130153	Crucita
PR130154	Pueblo Nuevo
PR130155	Riochico (Rio Chico)
PR130156	San Placido
PR130157	Chirijos
PR130250	Calceta
PR130251	Membrillo
PR130252	Quiroga
PR130301	Chone
PR130302	Santa Rita
PR130350	Chone
PR130351	Boyaca
PR130352	Canuto
PR130353	Convento
PR130354	Chibunga
PR130355	Eloy Alfaro
PR130356	Ricaurte
PR130357	San Antonio
PR130401	El Carmen
PR130402	4 De Diciembre
PR130450	El Carmen
PR130451	Wilfrido Loor Moreira (Maicito)
PR130452	San Pedro De Suma
PR130550	Flavio Alfaro
PR130551	San Francisco De Novillo (Cab. En
PR130552	Zapallo
PR130601	Dr. Miguel Moran Lucio
PR130602	Manuel Inocencio Parrales Y Guale
PR130603	San Lorenzo De Jipijapa
PR130650	Jipijapa
PR130651	America
PR130652	El Anegado (Cab. En Eloy Alfaro)
PR130653	Julcuy
PR130654	La Union
PR130655	Machalilla
PR130656	Membrillal
PR130657	Pedro Pablo Gomez
PR130658	Puerto De Cayo
PR130659	Puerto Lopez
PR130750	Junin
PR130801	Los Esteros
PR130802	Manta
PR130803	San Mateo
PR130804	Tarqui
PR130805	Eloy Alfaro
PR130850	Manta
PR130851	San Lorenzo
PR130852	Santa Marianita (Boca De Pacoche)
PR130901	Anibal San Andres
PR130902	Montecristi
PR130903	El Colorado
PR130904	General Eloy Alfaro
PR130905	Leonidas Proano
PR130950	Montecristi
PR130951	Jaramijo
PR130952	La Pila
PR131050	Pajan
PR131051	Campozano (La Palma De Pajan)
PR131052	Cascol
PR131053	Guale
PR131054	Lascano
PR131150	Pichincha
PR131151	Barraganete
PR131152	San Sebastian
PR131250	Rocafuerte
PR131301	Santa Ana
PR131302	Lodana
PR131350	Santa Ana De Vuelta Larga
PR131351	Ayacucho
PR131352	Honorato Vasquez (Cab. En Vasquez)
PR131353	La Union
PR131354	Olmedo
PR131355	San Pablo (Cab. En Pueblo Nuevo)
PR131401	Bahia De Caraquez
PR131402	Leonidas Plaza Gutierrez
PR131450	Bahia De Caraquez
PR131451	Canoa
PR131452	Cojimies
PR131453	Charapoto
PR131454	10 De Agosto
PR131455	Jama
PR131456	Pedernales
PR131457	San Isidro
PR131458	San Vicente
PR131550	Tosagua
PR131551	Bachillero
PR131552	Angel Pedro Giler (La Estancilla)
PR131650	Sucre
PR131651	Bellavista
PR131652	Noboa
PR131653	Arq. Sixto Duran Ballen
PR131750	Pedernales
PR131751	Cojimies
PR131752	10 De Agosto
PR131753	Atahualpa
PR131850	Olmedo
PR131950	Puerto Lopez
PR131951	Machalilla
PR131952	Salango
PR132050	Jama
PR132150	Jaramijo
PR132250	San Vicente
PR132251	Canoa
PR140150	Macas
PR140151	Alshi (Cab. En 9 De Octubre)
PR140152	Chiguaza
PR140153	General Proano
PR140154	Huasaga (Cab.En Wampuik)
PR140155	Macuma
PR140156	San Isidro
PR140157	Sevilla Don Bosco
PR140158	Sinai
PR140159	Taisha
PR140160	Zuna (Zunac)
PR140161	Tuutinentza
PR140162	Cuchaentza
PR140163	San Jose De Morona
PR140164	Rio Blanco
PR140201	Gualaquiza
PR140202	Mercedes Molina
PR140250	Gualaquiza
PR140251	Amazonas (Rosario De Cuyes)
PR140252	Bermejos
PR140253	Bomboiza
PR140254	Chigüinda
PR140255	El Rosario
PR140256	Nueva Tarqui
PR140257	San Miguel De Cuyes
PR140258	El Ideal
PR140350	General Leonidas Plaza Gutierrez (Limon)
PR140351	Indanza
PR140352	Pan De Azucar
PR140353	San Antonio (Cab. En San Antonio Centro
PR140354	San Carlos De Limon (San Carlos Del
PR140355	San Juan Bosco
PR140356	San Miguel De Conchay
PR140357	Santa Susana De Chiviaza (Cab. En Chiviaza)
PR140358	Yunganza (Cab. En El Rosario)
PR140450	Palora (Metzera)
PR140451	Arapicos
